dta,provincia,canton,distrito,ids,version
11803,San José,Curridabat,Sánchez,100,2013
10203,San José,Escazú,San Rafael,99.5,2013
10108,San José,San José,Mata Redonda,92.2,2013
10901,San José,Santa Ana,Santa Ana,91.9,2013
10903,San José,Santa Ana,Pozos,91.9,2013
40802,Heredia,Flores,Barrantes,91.9,2013
10201,San José,Escazú,Escazú,90.5,2013
11502,San José,Montes de Oca,Sabanilla,90.2,2013
20707,Alajuela,Palmares,Granja,88.5,2013
40901,Heredia,San Pablo,San Pablo,88.3,2013
11401,San José,Moravia,San Vicente,88.2,2013
20501,Alajuela,Atenas,Atenas,88.2,2013
40902,Heredia,San Pablo,Rincón de Sabanilla,87.5,2013
11303,San José,Tibás,Anselmo Llorente,87.4,2013
20701,Alajuela,Palmares,Palmares,87.2,2013
40302,Heredia,Santo Domingo,San Vicente,87,2013
11501,San José,Montes de Oca,San Pedro,86.9,2013
40703,Heredia,Belén,Asunción,85.9,2013
10101,San José,San José,Carmen,85.6,2013
11801,San José,Curridabat,Curridabat,85.6,2013
10106,San José,San José,San Francisco de Dos Ríos,85.5,2013
10105,San José,San José,Zapote,83.4,2013
11101,San José,Vázquez de Coronado,San Isidro,83.4,2013
11301,San José,Tibás,San Juan,83.3,2013
11504,San José,Montes de Oca,San Rafael,83.2,2013
40701,Heredia,Belén,San Antonio,82.6,2013
10305,San José,Desamparados,San Antonio,82.2,2013
10905,San José,Santa Ana,Piedades,82.1,2013
11104,San José,Vázquez de Coronado,Patalillo,82.1,2013
20703,Alajuela,Palmares,Buenos Aires,81.9,2013
10904,San José,Santa Ana,Uruca,81.7,2013
10802,San José,Goicoechea,San Francisco,81.6,2013
40702,Heredia,Belén,Ribera,81.5,2013
30303,Cartago,La Unión,San Juan,81.2,2013
40102,Heredia,Heredia,Mercedes,81.1,2013
10804,San José,Goicoechea,Mata de Plátano,81,2013
40801,Heredia,Flores,San Joaquín,81,2013
40301,Heredia,Santo Domingo,Santo Domingo,80.7,2013
30101,Cartago,Cartago,Oriental,79.9,2013
10312,San José,Desamparados,Gravilias,79.7,2013
10801,San José,Goicoechea,Guadalupe,79.1,2013
11102,San José,Vázquez de Coronado,San Rafael,79.1,2013
20201,Alajuela,San Ramón,San Ramón,79.1,2013
40205,Heredia,Barva,Santa Lucía,78.4,2013
11503,San José,Montes de Oca,Mercedes,78.3,2013
40601,Heredia,San Isidro,San Isidro,78.3,2013
11403,San José,Moravia,Trinidad,78.2,2013
10906,San José,Santa Ana,Brasil,78,2013
40602,Heredia,San Isidro,San José,78,2013
10202,San José,Escazú,San Antonio,77.6,2013
10111,San José,San José,San Sebastián,77.4,2013
10701,San José,Mora,Colón,77.3,2013
11305,San José,Tibás,Colima,77.3,2013
40401,Heredia,Santa Bárbara,Santa Bárbara,77.3,2013
30301,Cartago,La Unión,Tres Ríos,77.2,2013
10803,San José,Goicoechea,Calle Blancos,77.1,2013
20505,Alajuela,Atenas,Concepción,77.1,2013
21101,Alajuela,Zarcero,Zarcero,77,2013
11802,San José,Curridabat,Granadilla,76.5,2013
40201,Heredia,Barva,Barva,76.5,2013
40305,Heredia,Santo Domingo,Santo Tomás,76.4,2013
40101,Heredia,Heredia,Heredia,76.1,2013
10311,San José,Desamparados,San Rafael Abajo,76,2013
40501,Heredia,San Rafael,San Rafael,75.9,2013
10310,San José,Desamparados,Damas,75.6,2013
11001,San José,Alajuelita,Alajuelita,75.6,2013
10104,San José,San José,Catedral,75.5,2013
40303,Heredia,Santo Domingo,San Miguel,74.7,2013
11103,San José,Vázquez de Coronado,Dulce Nombre de Jesús,74.6,2013
40603,Heredia,San Isidro,Concepción,74.6,2013
20507,Alajuela,Atenas,Santa Eulalia,74.5,2013
21103,Alajuela,Zarcero,Tapesco,74.5,2013
30109,Cartago,Cartago,Dulce Nombre,74.5,2013
20301,Alajuela,Grecia,Grecia,74.4,2013
30201,Cartago,Paraíso,Paraíso,74.3,2013
10301,San José,Desamparados,Desamparados,74,2013
21102,Alajuela,Zarcero,Laguna,73.9,2013
20113,Alajuela,Alajuela,Garita,73.7,2013
30106,Cartago,Cartago,Guadalupe (Arenilla),73.7,2013
40503,Heredia,San Rafael,Santiago,73.6,2013
40308,Heredia,Santo Domingo,Pará,73.4,2013
20104,Alajuela,Alajuela,San Antonio,73.3,2013
10304,San José,Desamparados,San Rafael Arriba,73.1,2013
30801,Cartago,El Guarco,Tejar,73.1,2013
10805,San José,Goicoechea,Ipís,72.9,2013
20702,Alajuela,Palmares,Zaragoza,72.7,2013
21107,Alajuela,Zarcero,Brisas,72.6,2013
10102,San José,San José,Merced,72.5,2013
11602,San José,Turrubares,San Pedro,72.2,2013
40203,Heredia,Barva,San Pablo,72.2,2013
10109,San José,San José,Pavas,72.1,2013
20101,Alajuela,Alajuela,Alajuela,72,2013
30305,Cartago,La Unión,Concepción,71.6,2013
40306,Heredia,Santo Domingo,Santa Rosa,71.3,2013
20503,Alajuela,Atenas,Mercedes,71.2,2013
30307,Cartago,La Unión,San Ramón,71.2,2013
40402,Heredia,Santa Bárbara,San Pedro,71.2,2013
20209,Alajuela,San Ramón,Alfaro,71,2013
40403,Heredia,Santa Bárbara,San Juan,71,2013
10902,San José,Santa Ana,Salitral,70.9,2013
40307,Heredia,Santo Domingo,Tures,70.9,2013
20105,Alajuela,Alajuela,Guácima,70.8,2013
40505,Heredia,San Rafael,Concepción,70.8,2013
30102,Cartago,Cartago,Occidental,70.6,2013
40104,Heredia,Heredia,Ulloa,70.6,2013
20102,Alajuela,Alajuela,San José,70.4,2013
20204,Alajuela,San Ramón,Piedades Norte,70.4,2013
10110,San José,San José,Hatillo,70.3,2013
40406,Heredia,Santa Bárbara,Purabá,70.2,2013
10401,San José,Puriscal,Santiago,70.1,2013
20203,Alajuela,San Ramón,San Juan,70.1,2013
30603,Cartago,Alvarado,Capellades,70,2013
20304,Alajuela,Grecia,San Roque,69.6,2013
20801,Alajuela,Poás,San Pedro,69.6,2013
40202,Heredia,Barva,San Pedro,69.6,2013
40502,Heredia,San Rafael,San Josecito,69.3,2013
11402,San José,Moravia,San Jerónimo,69.1,2013
40204,Heredia,Barva,San Roque,69,2013
